* primer sequences are manufactured specifically for use with the Ion AmpliSeq Kits and contain proprietary modifications.
384Well_PlateID,384Well_Row,384Well_Col,Amplicon_ID,Ion_AmpliSeq_Fwd_Primer*,Ion_AmpliSeq_Rev_Primer*
Pool1_01,M,9,7173178218,.,.
Pool1_01,M,10,7173178340,.,.
Pool1_01,M,11,7169597155,.,.
Pool1_01,M,12,7173178252,.,.
Pool1_01,M,13,7169440366,.,.
Pool1_01,M,14,7171125991,.,.
Pool1_01,M,15,7173178201,.,.
Pool1_01,M,16,7173178246,.,.
Pool1_01,M,17,7173184195,.,.
Pool1_01,M,18,7170865608,.,.
Pool1_01,M,19,7173178388,.,.
Pool1_01,M,20,7173184192,.,.
Pool1_01,M,21,7173178309,.,.
Pool1_01,M,22,7173184283,.,.
Pool1_01,M,23,7173178285,.,.
Pool1_01,M,24,7173178453,.,.
Pool1_01,N,1,7173184214,.,.
Pool1_01,N,2,7173178432,.,.
Pool1_01,N,3,7173178290,.,.
Pool1_01,N,4,7173178437,.,.
Pool1_01,N,5,7173178313,.,.
Pool1_01,N,6,7173178355,.,.
Pool1_01,N,7,7173178381,.,.
Pool1_01,N,8,7173178426,.,.
Pool1_01,N,9,7173178462,.,.
Pool1_01,N,10,7170038978,.,.
Pool1_01,N,11,7173184290,.,.
Pool1_01,N,12,7173178366,.,.
Pool1_01,N,13,7173178431,.,.
Pool1_01,N,14,7173178415,.,.
Pool1_01,N,15,7173178354,.,.
Pool1_01,N,16,7173178230,.,.
Pool1_01,N,17,7169598343,.,.
Pool1_01,N,18,7173184231,.,.
Pool1_01,N,19,7173178319,.,.
Pool1_01,N,20,7173178235,.,.
Pool1_01,N,21,7173178406,.,.
Pool1_01,N,22,7173184174,.,.
Pool1_01,N,23,7173178424,.,.
Pool1_01,N,24,7173178434,.,.
Pool1_01,O,1,7173178449,.,.
Pool1_01,O,2,7173178463,.,.
Pool1_01,O,3,7173184252,.,.
Pool1_01,O,4,7173184301,.,.
Pool1_01,O,5,7173178248,.,.
Pool1_01,O,6,7173184172,.,.
Pool1_01,O,7,7169819042,.,.
Pool1_01,O,8,7170612633,.,.
Pool1_01,O,9,7173178369,.,.
Pool1_01,O,10,7173184232,.,.
Pool1_01,O,11,7173178362,.,.
Pool1_01,O,12,7170218860,.,.
Pool1_01,O,13,7173184229,.,.
Pool1_01,O,14,7173178307,.,.
Pool1_01,O,15,7173178344,.,.
Pool1_01,O,16,7173178288,.,.
Pool1_01,O,17,7171259280,.,.
Pool1_01,O,18,7173184234,.,.
Pool1_01,O,19,7173184242,.,.
Pool1_01,O,20,7173178407,.,.
Pool1_01,O,21,7170216383,.,.
Pool1_01,O,22,7173184213,.,.
Pool1_01,O,23,7173178461,.,.
Pool1_01,O,24,7172265269,.,.
Pool1_01,P,1,7173178373,.,.
Pool1_01,P,2,7170670994,.,.
Pool1_01,P,3,7169594536,.,.
Pool1_01,P,4,7173184266,.,.
Pool1_01,P,5,7173178234,.,.
Pool1_01,P,6,7170239528,.,.
Pool1_01,P,7,7173178363,.,.
Pool1_01,P,8,7169969708,.,.
Pool1_01,P,9,7170521024,.,.
Pool1_01,P,10,7173178241,.,.
Pool1_01,P,11,7173178457,.,.
Pool1_01,P,12,7173178414,.,.
Pool1_01,P,13,7173178207,.,.
Pool1_01,P,14,7170231018,.,.
Pool1_01,P,15,7173178274,.,.
Pool1_01,P,16,7173178325,.,.
Pool1_01,P,17,7173178303,.,.
Pool1_01,P,18,7173178194,.,.
Pool1_01,P,19,7173184272,.,.
Pool1_01,P,20,7173178310,.,.
Pool1_01,P,21,7173184274,.,.
Pool1_01,P,22,7173178206,.,.
Pool1_01,P,23,7173178400,.,.
Pool1_01,P,24,7173178472,.,.
Pool1_02,A,1,7173178375,.,.
Pool1_02,A,2,7173178245,.,.
Pool1_02,A,3,7173184277,.,.
Pool1_02,A,4,7173178183,.,.
Pool1_02,A,5,7173184291,.,.
Pool1_02,A,6,7173178214,.,.
Pool1_02,A,7,7173178199,.,.
Pool1_02,A,8,7170306349,.,.
Pool1_02,A,9,7173184189,.,.
Pool1_02,A,10,7173178297,.,.
Pool1_02,A,11,7173178224,.,.
Pool1_02,A,12,7173184249,.,.
Pool1_02,A,13,7173178217,.,.
Pool1_02,A,14,7173178427,.,.
Pool1_02,A,15,7173178398,.,.
Pool1_02,A,16,7173184268,.,.
Pool1_02,A,17,7173184288,.,.
Pool1_02,A,18,7173178350,.,.
Pool1_02,A,19,7171862123,.,.
Pool1_02,A,20,7173184281,.,.
Pool1_02,A,21,7169954134,.,.
Pool1_02,A,22,7173178314,.,.
Pool1_02,A,23,7173178222,.,.
Pool1_02,A,24,7171259330,.,.
Pool1_02,B,1,Blank,.,.
Pool1_02,B,2,Blank,.,.
Pool1_02,B,3,Blank,.,.
Pool1_02,B,4,Blank,.,.
Pool1_02,B,5,Blank,.,.
Pool1_02,B,6,Blank,.,.
Pool1_02,B,7,Blank,.,.
Pool1_02,B,8,Blank,.,.
Pool1_02,B,9,Blank,.,.
Pool1_02,B,10,Blank,.,.
Pool1_02,B,11,Blank,.,.
Pool1_02,B,12,Blank,.,.
Pool1_02,B,13,Blank,.,.
Pool1_02,B,14,Blank,.,.
Pool1_02,B,15,Blank,.,.
Pool1_02,B,16,Blank,.,.
Pool1_02,B,17,Blank,.,.
Pool1_02,B,18,Blank,.,.
Pool1_02,B,19,Blank,.,.
Pool1_02,B,20,Blank,.,.
Pool1_02,B,21,Blank,.,.
Pool1_02,B,22,Blank,.,.
Pool1_02,B,23,Blank,.,.
Pool1_02,B,24,Blank,.,.
Pool1_02,C,1,7173178209,.,.
Pool1_02,C,2,7173184270,.,.
Pool1_02,C,3,7173184241,.,.
Pool1_02,C,4,7173178236,.,.
Pool1_02,C,5,7173178177,.,.
Pool1_02,C,6,7170215392,.,.
